id,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013,gdp2014,gdp2015,gdp2016,gdp2017,gdp2018,gdp2019,gdp2020,county,regionid,city,province,RegionCode
"36",148903.339999999996508,161711.690000000002328,180896.019999999989523,196442.420000000012806,256318.220000000001164,308758.030000000027940,339409.440000000002328,414956.250000000000000,487460.659999999974389,553073.689999999944121,713408.130000000004657,810269.060000000055879,960218.060000000055879,1035078.699999999953434,1118348.300000000046566,1163559.399999999906868,1222642.800000000046566,1304052.100000000093132,1407839.800000000046566,1489450.399999999906868,1565834.399999999906868,井陉矿区,"130107",石家庄市, ,"130107"
"37",197345.230000000010477,205943.720000000001164,227325.000000000000000,257958.279999999998836,307348.159999999974389,364768.190000000002328,430429.559999999997672,518555.340000000025611,633978.810000000055879,686688.000000000000000,832372.439999999944121,1030187.199999999953434,1173277.000000000000000,1247616.000000000000000,1344571.100000000093132,1418544.800000000046566,1494169.500000000000000,1594024.600000000093132,1716496.500000000000000,1832791.000000000000000,1877100.899999999906868, ,"130108",石家庄市, ,"130108"
"38",173065.470000000001164,187553.059999999997672,203476.480000000010477,233899.559999999997672,284911.440000000002328,324206.690000000002328,370935.659999999974389,458781.469999999972060,564320.500000000000000,639420.500000000000000,761100.380000000004657,945436.750000000000000,1086204.500000000000000,1192259.399999999906868,1289891.100000000093132,1358207.600000000093132,1437542.800000000046566,1555511.000000000000000,1676115.300000000046566,1803947.800000000046566,1855870.899999999906868, ,"130109",石家庄市, ,"130109"
"39",179093.450000000011642,193924.339999999996508,211228.839999999996508,234421.890000000013970,286565.250000000000000,343609.809999999997672,391229.440000000002328,479750.880000000004657,585017.500000000000000,665240.310000000055879,830444.130000000004657,993938.000000000000000,1120019.800000000046566,1203368.399999999906868,1299249.399999999906868,1358978.500000000000000,1427753.399999999906868,1529541.399999999906868,1654585.899999999906868,1762451.800000000046566,1811275.899999999906868, ,"130110",石家庄市, ,"130110"
"40",172314.809999999997672,181149.089999999996508,193662.079999999987194,215461.109999999986030,275779.559999999997672,321396.059999999997672,375424.090000000025611,454816.750000000000000,546261.250000000000000,637813.880000000004657,778668.000000000000000,937278.939999999944121,1053260.500000000000000,1154148.899999999906868,1266504.399999999906868,1326730.899999999906868,1395275.500000000000000,1501135.100000000093132,1632137.100000000093132,1752950.600000000093132,1806468.100000000093132, ,"130111",石家庄市, ,"130111"
"41",150512.380000000004657,166814.579999999987194,180263.470000000001164,197911.220000000001164,253644.589999999996508,292985.440000000002328,334093.530000000027940,417561.590000000025611,484355.440000000002328,577955.939999999944121,706326.310000000055879,855046.189999999944121,1009321.699999999953434,1102128.800000000046566,1191261.500000000000000,1237230.600000000093132,1302867.500000000000000,1394700.899999999906868,1488986.000000000000000,1591913.000000000000000,1635028.600000000093132, ,"130121",石家庄市, ,"130121"
"42",174047.970000000001164,188889.269999999989523,205574.029999999998836,220812.450000000011642,281599.630000000004657,332581.000000000000000,369142.219999999972060,463415.809999999997672,557635.380000000004657,629771.439999999944121,774885.500000000000000,907003.189999999944121,1061746.000000000000000,1141917.399999999906868,1246422.000000000000000,1320529.100000000093132,1398396.800000000046566,1533549.300000000046566,1688964.800000000046566,1828510.100000000093132,1844518.100000000093132, ,"130123",石家庄市, ,"130123"
"43",155259.200000000011642,171304.339999999996508,187688.880000000004657,207733.230000000010477,240621.339999999996508,268996.809999999997672,306440.000000000000000,372588.880000000004657,455918.940000000002328,553048.939999999944121,695460.630000000004657,831411.689999999944121,912364.560000000055879,1015398.300000000046566,1096147.600000000093132,1133216.800000000046566,1208225.600000000093132,1308639.300000000046566,1403857.899999999906868,1522152.100000000093132,1550800.800000000046566, ,"130125",石家庄市, ,"130125"
"44",153470.440000000002328,162114.089999999996508,176072.890000000013970,203194.529999999998836,245523.769999999989523,294526.250000000000000,340677.750000000000000,411308.280000000027940,518977.340000000025611,581195.439999999944121,708816.939999999944121,841726.500000000000000,971950.130000000004657,1027900.599999999976717,1101980.500000000000000,1125927.100000000093132,1179384.300000000046566,1297824.000000000000000,1492574.399999999906868,1619099.100000000093132,1639144.100000000093132, ,"130126",石家庄市, ,"130126"
"45",150321.160000000003492,159082.700000000011642,174979.470000000001164,194093.269999999989523,233571.440000000002328,269499.559999999997672,318153.750000000000000,381635.590000000025611,460637.719999999972060,560453.060000000055879,659687.689999999944121,815039.189999999944121,922467.130000000004657,1022346.699999999953434,1088484.800000000046566,1136467.899999999906868,1187871.600000000093132,1288350.600000000093132,1396718.800000000046566,1522205.899999999906868,1585634.100000000093132, ,"130127",石家庄市, ,"130127"
"46",146633.269999999989523,152513.589999999996508,175890.450000000011642,197904.799999999988358,236334.630000000004657,276720.880000000004657,313025.030000000027940,383996.559999999997672,452287.250000000000000,534266.560000000055879,665178.189999999944121,824140.310000000055879,902377.810000000055879,982315.189999999944121,1065143.500000000000000,1099281.899999999906868,1150490.500000000000000,1250061.100000000093132,1347923.300000000046566,1421835.899999999906868,1466940.500000000000000, ,"130128",石家庄市, ,"130128"
"47",146513.750000000000000,154319.329999999987194,171324.440000000002328,196499.579999999987194,246484.950000000011642,293970.059999999997672,322370.690000000002328,389224.280000000027940,484066.809999999997672,551005.750000000000000,671809.000000000000000,841001.130000000004657,974132.689999999944121,1047436.699999999953434,1114937.399999999906868,1148790.000000000000000,1212640.000000000000000,1303280.000000000000000,1381276.100000000093132,1473183.399999999906868,1516683.500000000000000, ,"130129",石家庄市, ,"130129"
"48",152450.769999999989523,159739.309999999997672,180913.269999999989523,218246.160000000003492,259597.950000000011642,303120.969999999972060,345784.000000000000000,426382.780000000027940,504141.559999999997672,579417.310000000055879,689703.060000000055879,843637.560000000055879,964013.060000000055879,1040117.300000000046566,1128311.300000000046566,1167744.800000000046566,1234928.500000000000000,1356597.300000000046566,1464868.600000000093132,1564553.600000000093132,1619726.100000000093132, ,"130130",石家庄市, ,"130130"
